0 1
394 8,09689418534821E-05
395 1,84886209865294E-05
396 2,27519522915684E-06
397 4,49509109231366E-06
398 1,17183346650589E-05
399 3,66482633349289E-05
400 4,50990660456855E-06
401 8,91019845047556E-06
402 2,32281582798848E-05
403 2,58320575320237E-05
404 3,17887278337235E-06
405 6,28048202150585E-06
406 1,63727027271455E-05
407 0,000396830996116345
408 9,46789969702203E-05
409 2,16192042318495E-05
410 2,66044235328903E-06
411 5,25622178291721E-06
412 1,37025400956432E-05
413 4,28537255622089E-05
414 5,27354592977875E-06
415 1,04189165967266E-05
416 2,71612630357036E-05
417 3,02060671761619E-05
418 3,71713498702075E-06
419 7,34392378946599E-06
420 1,91450083996752E-05
421 0,000200089241056804
422 4,56888043328491E-05
423 5,62242850452264E-06
424 1,11082020408491E-05
425 2,89581737874773E-05
426 9,05646415634921E-05
427 1,11448139136869E-05
428 2,20187494712147E-05
429 5,74010781785906E-05
430 6,3835795160463E-05
431 7,85558299368774E-06
432 1,55202334671484E-05
433 4,04599786996269E-05
434 0,00010206275808932
435 2,33052280041885E-05
436 2,867923119208E-06
437 5,66614042671396E-06
438 1,47711644582665E-05
439 4,61957727188168E-05
440 5,68481563733949E-06
441 1,12314599667652E-05
442 2,92794971147121E-05
443 3,25617573663148E-05
444 4,00702437822588E-06
445 7,91665671517861E-06
446 2,06380762729103E-05
447 0,00059784203227732
448 0,000142637758936703
449 3,25702102927412E-05
450 4,00806458873654E-06
451 7,91871185354242E-06
452 2,06434338504622E-05
453 6,45608801517465E-05
454 7,94481138525374E-06
455 1,56965215249686E-05
456 4,09195472415242E-05
457 4,55066684922149E-05
458 5,60001501051617E-06
459 1,10639198201566E-05
460 2,88427336615421E-05
461 0,00030144257802673
462 6,88320416045905E-05
463 8,47041717097184E-06
464 1,67349580754556E-05
465 4,36266663581631E-05
466 0,000136439315211434
467 1,67901153506609E-05
468 3,31721414428442E-05
469 8,64770584179285E-05
470 9,61712212107063E-05
471 1,18347552172878E-05
472 2,33818628288254E-05
473 6,09546031645932E-05
474 0,000153761695313887
475 3,51102736657836E-05
476 4,32064279953509E-06
477 8,53627095924283E-06
478 2,22533599070057E-05
479 6,95958100932759E-05
480 8,5644059234539E-06
481 1,6920651152975E-05
482 4,41107530168469E-05
483 4,90556115548274E-05
484 6,03674516635031E-06
485 1,19267652621991E-05
486 3,1092101126278E-05
487 0,00845021675724753
488 0,00203152769295082
489 0,000484697531614737
490 0,000110676868809122
491 1,36198088584323E-05
492 2,69085837971109E-05
493 7,01484761535785E-05
494 0,000219384400608207
495 2,69972726456394E-05
496 5,33383677281838E-05
497 0,000139048760234384
498 0,000154636262197408
499 1,90294174055775E-05
500 3,75963185820453E-05
501 9,80105262097854E-05
502 0,00102433236880829
503 0,000233898239221166
504 2,87833342666232E-05
505 5,68670801568676E-05
506 0,000148247824797675
507 0,000463634592909818
508 5,70545101567634E-05
509 0,000112722291738028
510 0,000293857791015027
511 0,00032679953667731
512 4,02156952257612E-05
513 7,94539347937684E-05
514 0,00020712990665778
515 0,00052249779252779
516 0,000119308261059227
517 1,46819812336857E-05
518 2,90071120997886E-05
519 7,56191677257526E-05
520 0,000236493601795218
521 2,91027175538201E-05
522 5,74980840157516E-05
523 0,000149892800225646
524 0,000166695929673346
525 2,05134706471071E-05
526 4,0528354664501E-05
527 0,000105654104361738
528 0,0025607759559535
529 0,000610969660505178
530 0,000139510116209614
531 1,71680057182466E-05
532 3,39187374287345E-05
533 8,84233730626334E-05
534 0,000276537848899689
535 3,40305312633255E-05
536 6,72339393068986E-05
537 0,000175273378329465
538 0,000194921695395875
539 2,39869112870546E-05
540 4,73908128308248E-05
541 0,000123543971277996
542 0,00129118874926047
543 0,000294832794657809
544 3,62818929704473E-05
545 7,16819426367093E-05
546 0,000186868959050653
547 0,000584419460286675
